episode,reward,avg_reward,max_q,reward_var
1852,0.0,124.543434,0.21642588,0.17787174860856647
1853,0.98434734,125.861465,22.739475,0.18680191409201305
1854,0.9905022,126.64505,22.46292,0.19511392865061988
1855,0.972112,127.156586,22.694965,0.20212804743121882
1856,0.0,125.9238,-0.23266104,0.19503532669305423
1857,0.0,124.65273,0.2010027,0.19503532669305423
1858,0.9970374,125.75414,23.130287,0.20272864729164367
1859,0.0,124.555626,0.3317858,0.20272864729164367
1860,0.0,124.74793,0.3163256,0.20272864729164367
1861,0.0,124.700134,-0.18381128,0.20272864729164367
1862,0.5860443,124.710236,5.152254,0.20195648145988065
1863,0.0,124.24369,-0.033823147,0.20195648145988065
1864,0.9944032,125.34061,23.130592,0.2082920081751435
1865,0.9559632,126.42291,22.889261,0.21287167153008518
1866,0.0,125.397255,-0.17461078,0.21287167153008518
1867,0.0,125.4529,-0.070391044,0.21287167153008518
1868,0.93145293,126.64171,22.766203,0.2161504265728902
1869,0.0,126.938866,0.20846583,0.2161504265728902
1870,0.0,126.27491,-0.3476891,0.2161504265728902
1871,0.0,125.53571,0.25864863,0.212910756853647
1872,0.98141867,125.68435,23.405293,0.2151841527472179
1873,0.90576726,125.63645,22.747158,0.21425725752414285
1874,0.0,125.08152,0.021349296,0.21087903141633893
1875,0.0,123.96311,0.097708896,0.21087903141633893
1876,0.0,124.36865,-0.33922446,0.21087903141633893
1877,0.8517214,124.18823,22.493565,0.21310783364994704
1878,0.0,123.516495,0.09832907,0.21310783364994704
1879,0.0,123.05917,0.13208291,0.21310783364994704
1880,0.94061285,123.17105,23.316597,0.21658750576397748
1881,0.0,124.01701,0.46634412,0.21373197019317577
1882,0.0,123.77194,0.114523575,0.20945829606820573
1883,0.0,124.02218,0.22563042,0.20945829606820573
1884,0.0,123.97528,-0.27813327,0.20945829606820573
1885,0.0,122.92693,0.03178978,0.20945829606820573
1886,0.0,121.58433,0.14832024,0.20945829606820573
1887,0.0,121.714806,0.17268287,0.20945829606820573
1888,0.9921557,122.95236,23.827787,0.21276751994177975
